"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"21 Mar 2019","Berrigan","16-18 Davis Street, Berrigan","$75,000"," 1"," 3",393.616666666667,635.493,"Sold"
"20 Mar 2019","Cowra","66 Redfern Street, Cowra","$175,000"," 1"," 3",231.566666666667,291.247,"Sold"
"20 Mar 2019","Wellington","121 Pierce Street, Wellington","$150,000"," 1"," 3",258.633333333333,332.55,"Sold"
"18 Mar 2019","Cowra","10 Dungaleer Street, Cowra","$158,500"," 1"," 2",231.566666666667,291.247,"Sold"
"18 Mar 2019","Wellington","32 Palmer Street, Wellington","$134,000"," 1"," 3",258.633333333333,332.55,"Sold"
"18 Mar 2019","Boree Creek","9 Lachlan Street, Boree Creek","$95,000"," 1"," 3",327.3,533.536,"Sold"
"16 Mar 2019","Orange","62 Churchill Avenue, Orange","$82,000"," 1"," 3",193.966666666667,237.883,"Sold"
"15 Mar 2019","Scone","29 Mount Street, Scone","$130,000"," 1"," 2",191.116666666667,265.882,"Sold"
"15 Mar 2019","Wellington","14 Samuel Street, Wellington","$125,000"," 1"," 2",258.633333333333,332.55,"Sold"
"15 Mar 2019","Warren","Address available on request, Warren","$85,000"," 1"," 3",354.566666666667,482.306,"Sold"
"14 Mar 2019","North Albury","212 Lowry Street, North Albury","$155,000"," 1"," 3",325.583333333333,548.233,"Sold"
"13 Mar 2019","Moree","13 Dover Street, Moree","$173,000"," 1"," 3",421.2,616.255,"Sold"
"12 Mar 2019","Moulamein","54 Nyang Street, Moulamein","$157,000"," 2"," 3",496.516666666667,799.673,"Sold"
"12 Mar 2019","Darlington Point","22 White Street, Darlington Point","$125,000"," 1"," 2",375.183333333333,609.956,"Sold"
"09 Mar 2019","Narrabri","13 Blanche Peadon Drive, Narrabri","$105,000"," 1"," 3",355.616666666667,515.023,"Sold"
"08 Mar 2019","Deepwater","15 Bourke Street, Deepwater","$144,500"," 1"," 1",430.316666666667,601.336,"Sold"
"08 Mar 2019","Narrandera","4 Midgeon Street, Narrandera","$135,000"," 1"," 3",334.233333333333,527.307,"Sold"
"07 Mar 2019","Muswellbrook","13 Wilkins Street, Muswellbrook","$170,000"," 1"," 2",164.583333333333,237.029,"Sold"
"07 Mar 2019","Ariah Park","39 Coolamon Street, Ariah Park","$120,000"," 1"," 3",277.5,446.458,"Sold"
"07 Mar 2019","Broken Hill","262 Williams Street, Broken Hill","$98,000"," 1"," 3",747.5,1126.84,"Sold"
"07 Mar 2019","Wellington","18 Bangalla Crescent, Wellington","$95,000"," 1"," 2",258.633333333333,332.55,"Sold"
"07 Mar 2019","Barraba","39 Henry Street, Barraba","$89,000"," 1"," 3",345.666666666667,486.82,"Sold"
"07 Mar 2019","Maclean","247 River Street, Maclean","$50,000"," 1"," 1",415.75,641.007,"Sold"
"06 Mar 2019","Parkes","5  Moon Crescent, Parkes","$170,000"," 1"," 2",262.666666666667,340.97,"Sold"
"06 Mar 2019","West Wyalong","51 Operator Street, West Wyalong","$115,000"," 1"," 3",310,489.378,"Sold"
"06 Mar 2019","Emmaville","16 Gap Street, Emmaville","$110,000"," 1"," 3",452.083333333333,615.12,"Sold"
"06 Mar 2019","Moree","66 Oak Street, Moree","$110,000"," 3"," 7",421.2,616.255,"Sold"
"06 Mar 2019","Broken Hill","193 Wills Street, Broken Hill","$19,000"," 1"," 3",747.5,1126.84,"Sold"
"05 Mar 2019","Urbenville","24 Beaury Street, Urbenville","$175,000"," 2"," 3",536.15,806.813,"Sold"
"05 Mar 2019","Broken Hill","4 Casuarina Avenue, Broken Hill","$140,000"," 1"," 3",747.5,1126.84,"Sold"
"05 Mar 2019","Batlow","8 Pioneer Street, Batlow","$135,000"," 1"," 2",269.433333333333,436.264,"Sold"
"05 Mar 2019","Moree","1-2 325 Edward Street, Moree","$105,000"," 2"," 4",421.2,616.255,"Sold"
"05 Mar 2019","Coonamble","31 Dubbo Street, Coonamble","$90,000"," 1"," 3",371.333333333333,517.207,"Sold"
"04 Mar 2019","Wyalong","91 Cassin Street, Wyalong","$170,000"," 1"," 3",305.133333333333,485.916,"Sold"
"04 Mar 2019","Narrandera","11 Larmer Street, Narrandera","$155,000"," 1"," 3",334.233333333333,527.307,"Sold"
"04 Mar 2019","Werris Creek","60 Henry Street, Werris Creek","$155,000"," 1"," 3",259.183333333333,360.294,"Sold"
"04 Mar 2019","Gilgandra","15  Strickland Street, Gilgandra","$111,000"," 1"," 3",311.166666666667,422.231,"Sold"
"01 Mar 2019","Emmaville","16 MOORE STREET, Emmaville","$105,000"," 1"," 2",452.083333333333,615.12,"Sold"
"01 Mar 2019","Leeton","57 Acacia Avenue, Leeton","$105,000"," 1"," 2",355.416666666667,556.851,"Sold"
"01 Mar 2019","Wellington","76 Simpson Street, Wellington","$70,000"," 1"," 2",258.633333333333,332.55,"Sold"
"28 Feb 2019","Moree","35 Blueberry Road, Moree","$160,000"," 1"," 3",421.2,616.255,"Sold"
"28 Feb 2019","Urbenville","54 Urben Street, Urbenville","$100,000"," 1"," 1",536.15,806.813,"Sold"
"27 Feb 2019","Muswellbrook","40 Tobruk Avenue, Muswellbrook","$136,000"," 1"," 3",164.583333333333,237.029,"Sold"
"27 Feb 2019","Clandulla","488 Cooper Drive, Clandulla","$103,000"," 1"," 2",168.533333333333,206.332,"Sold"
"26 Feb 2019","Narrandera","74 Dalgetty Street, Narrandera","$155,000"," 1"," 3",334.233333333333,527.307,"Sold"
"26 Feb 2019","West Wyalong","25 Monash Street, West Wyalong","$130,000"," 1"," 2",310,489.378,"Sold"
"26 Feb 2019","Darlington Point","18 Kook Street, Darlington Point","$128,000"," 1"," 3",375.183333333333,609.956,"Sold"
"25 Feb 2019","South Grafton","43 Hawthorne Street, South Grafton","$167,000"," 1"," 2",385.533333333333,600.403,"Sold"
"25 Feb 2019","Culcairn","59 Railway Parade, Culcairn","$93,000"," 1"," 3",309.683333333333,516.479,"Sold"
"25 Feb 2019","Broken Hill","78 - 80 Harris Street, Broken Hill","$62,000"," 1"," 2",747.5,1126.84,"Sold"
"25 Feb 2019","Wellington","134 Pierce Street, Wellington","$60,000"," 1"," 1",258.633333333333,332.55,"Sold"
"22 Feb 2019","West Wyalong","97 Cassin Street, West Wyalong","$172,500"," 1"," 3",310,489.378,"Sold"
"22 Feb 2019","Harden","161 Neill Street, Harden","$140,000"," 1"," 3",206.1,338.668,"Sold"
"22 Feb 2019","Wingham","37 Moon Street, Wingham","$135,000"," 1"," 2",216.85,314.557,"Sold"
"21 Feb 2019","Brocklesby","77 Ellis Street, Brocklesby","$155,000"," 1"," 4",345.716666666667,565,"Sold"
"21 Feb 2019","Finley","38 Hampden Street, Finley","$118,000"," 2"," 3",408.616666666667,657.711,"Sold"
"20 Feb 2019","Cullen Bullen","6 Farley Street, Cullen Bullen","$170,050"," 1"," 3",129.75,149.598,"Sold"
"20 Feb 2019","Stockinbingal","6 Britannia Street, Stockinbingal","$135,000"," 1"," 2",237.75,386.13,"Sold"
"20 Feb 2019","Oaklands","1 Gaffney St, Oaklands","$125,000"," 1"," 4",372.7,597.71,"Sold"
"20 Feb 2019","Glen Innes","120 Church Street, Glen Innes","$106,000"," 1"," 2",401.983333333333,559.494,"Sold"
"19 Feb 2019","Dubbo","29 Aldrin Avenue, Dubbo","$165,000"," 1"," 3",278.883333333333,371.378,"Sold"
"19 Feb 2019","Broken Hill","728 Blende Street, Broken Hill","$140,000"," 1"," 3",747.5,1126.84,"Sold"
"19 Feb 2019","Inverell","32 Swan Street, Inverell","$137,500"," 1"," 3",403.416666666667,561.941,"Sold"
"18 Feb 2019","Anna Bay","57-2 Frost Road ""Seawinds Village"", Anna Bay","$135,000"," 1"," 1",139.883333333333,189.781,"Sold"
"18 Feb 2019","Leeton","11 Blackwood Street, Leeton","$126,000"," 1"," 3",355.416666666667,556.851,"Sold"
"18 Feb 2019","Punchbowl","99 Mount Lewis Avenue, Punchbowl","$88,500"," 1"," 6",26.7333333333333,19.371,"Sold"
"18 Feb 2019","Delegate","43 Bombala Street, Delegate","$45,000"," 1"," 1",328.016666666667,518.137,"Sold"
"15 Feb 2019","Inverell","159 Glen Innes Road, Inverell","$165,000"," 1"," 3",403.416666666667,561.941,"Sold"
"15 Feb 2019","Finley","9 Hampden Street, Finley","$110,000"," 1"," 3",408.616666666667,657.711,"Sold"
"14 Feb 2019","Koraleigh","116 Eagles Lane, Koraleigh","$168,000"," 1"," 2",561,916.167,"Sold"
"14 Feb 2019","Bombala","2 Market Street, Bombala","$165,000"," 1"," 2",302.566666666667,482.409,"Sold"
