"Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"West Wyalong","111 Railway Road, West Wyalong","$95,000"," 1"," 3",310,489.378,"ForSale"
"Tolland","7 Edghill Place, Tolland","$175,000"," 2"," 4",279.833333333333,459.669,"ForSale"
"Junee","17 to 21 Hart St, Junee","$169,000"," 1"," 3",267.116666666667,435.263,"ForSale"
"Tolland","34 Bruce Street, Tolland","$149,000"," 1"," 3",279.833333333333,459.669,"ForSale"
"Callala Beach","Site 16c Myola Holiday Park, Callala Beach","$55,000 - $65,000"," 1"," 2",159.783333333333,198.45,"ForSale"
"Khancoban","15 Read st, Khancoban","$175,000"," 2"," 3",349.75,544.906,"ForSale"
"Cliftleigh","10 Blacksmith Street, Cliftleigh","$165,900 to $225,900"," 2"," 4",107.3,149.655,"ForSale"
"Deniliquin","317a HARFLEUR STREET, Deniliquin","$130,000"," 1"," 4",441.233333333333,708.832,"ForSale"
"Coolah","54 Booyamurra Street, Coolah","$175,000"," 1"," 3",268.316666666667,355.334,"ForSale"
"Merriwa","1 Macartney Street, Merriwa","$157,000"," 1"," 2",208.3,300.727,"ForSale"
"Barraba","37 Fitzroy Street, Barraba","$140,000"," 1"," 2",345.666666666667,486.82,"ForSale"
"Lakewood","Address available on request, Lakewood","$110,000"," 1"," 2",227.316666666667,346.487,"ForSale"
"Tullamore","45  Cardigan Street, Tullamore","$95,000"," 1"," 4",322.833333333333,430.228,"ForSale"
"Bow Bowing","93 Central Park Drive, Bow Bowing","$559,950"," 1"," 4",40.3666666666667,49.628,"ForSale"
"Wee Waa","134 Alma Street, Wee Waa","FOR SALE $160,000"," 1"," 2",386.916666666667,555.855,"ForSale"
"Hay","453 Church Street, Hay","$150,000"," 3"," 5",442.85,722.973,"ForSale"
"Gunnedah","137 Little Barber Street, Gunnedah","$159,000"," 1"," 2",295.566666666667,421.48,"ForSale"
"Cobar","14 Frederick Street, Cobar","$149,000"," 1"," 2",461.4,669.21,"ForSale"
"Barraba","3 Askin Avenue, Barraba","$145,000"," 1"," 3",345.666666666667,486.82,"ForSale"
"Finley","44 McAllister Street, Finley","$135,000"," 1"," 4",408.616666666667,657.711,"ForSale"
"Eugowra","29 Evelyn Street, Eugowra","$160,000"," 1"," 2",251.216666666667,322.68,"ForSale"
"Moree","332 BOSTON STREET, Moree","$145,000"," 1"," 2",421.2,616.255,"ForSale"
"Barellan","51 Mallee Street, Barellan","$139,000"," 1"," 3",323.55,518.697,"ForSale"
"Finley","11 Warmatta Street, Finley","$127,000"," 1"," 2",408.616666666667,657.711,"ForSale"
"Moree","324 Boston Street, Moree","$118,000"," 1"," 2",421.2,616.255,"ForSale"
"Parkes","89 Bogan Street, Parkes","$175,000"," 1"," 2",262.666666666667,340.97,"ForSale"
"Narrabri","4 Elliott Street, Narrabri","$150,000"," 2"," 4",355.616666666667,515.023,"ForSale"
"Cootamundra","36 Murray Street, Cootamundra","$150,000"," 1"," 3",231.2,377.99,"ForSale"
"Ganmain","2 Cave Street, Ganmain","$149,000"," 1"," 3",304.733333333333,482.076,"ForSale"
"West Albury","26 Waratah Crescent, West Albury","$159,000"," 1"," 3",327.383333333333,553.29,"ForSale"
"Broken Hill","672 Lane Lane, Broken Hill","$145,000"," 1"," 3",747.5,1126.84,"ForSale"
"Boggabri","127 Oakham Street, Boggabri","$149,000"," 1"," 4",321.15,459.858,"ForSale"
"Red Range","31 Victoria Street, Red Range","$149,000"," 1"," 3",434.833333333333,588.878,"ForSale"
"Wellington","122 Maxwell Street, Wellington","$110,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Barham","27 Yarrien Street, Barham","$148,000"," 1"," 2",496.75,793.729,"ForSale"
"Barmedman","35 DE BOOS STREET, Barmedman","NOW $130,000"," 1"," 4",285.633333333333,456.329,"ForSale"
"Cudal","24 Boree Street, Cudal","$159,000"," 1"," 3",223.433333333333,280.562,"ForSale"
"Delungra","60 Burnett Street, Delungra","$154,000"," 1"," 3",420.716666666667,593.377,"ForSale"
"Werris Creek","132 Dewhurst Street, Werris Creek","$159,000"," 1"," 2",259.183333333333,360.294,"ForSale"
"Jerilderie","7 Wood Street, Jerilderie","$139,000.00"," 1"," 3",382.816666666667,620.012,"ForSale"
"Moree","37 Adelaide Street, Moree","$65,000"," 1"," 3",421.2,616.255,"ForSale"
"Cowra","54 Bourke Street, Cowra","$149,900"," 1"," 3",231.566666666667,291.247,"ForSale"
"Nimmitabel","17 North Boyd Street, Nimmitabel","$140,000"," 1"," 2",278.916666666667,438.84,"ForSale"
"Moree","22 Drummond Street, Moree","$119,000"," 1"," 4",421.2,616.255,"ForSale"
"Gilgandra","19 Morris Street, Gilgandra","$95,000"," 1"," 2",311.166666666667,422.231,"ForSale"
"Deniliquin","125 Dick Street, Deniliquin","$169,000"," 1"," 4",441.233333333333,708.832,"ForSale"
"Deepwater","52 Severn Street, Deepwater","$159,000"," 1"," 2",430.316666666667,601.336,"ForSale"
"Warialda","12 Riddell Street, Warialda","$129,000"," 1"," 2",417.15,591.159,"ForSale"
"Moree","50 Tycannah Street, Moree","$125,000"," 1"," 3",421.2,616.255,"ForSale"
"Forbes","36 Cedar Crescent, Forbes","$90,000"," 1"," 3",275.683333333333,357.998,"ForSale"
"Springdale Heights","14 Gardinia Street, Springdale Heights","$169,000"," 1"," 3",320.566666666667,545.366,"ForSale"
"Moree","333 Edward Street, Moree","$135,000"," 1"," 3",421.2,616.255,"ForSale"
"Bombala","84 Maybe Street, Bombala","$159,500"," 1"," 3",302.566666666667,482.409,"ForSale"
"West Tamworth","42 Tingira Avenue, West Tamworth","$135,000"," 1"," 2",278.066666666667,394.137,"ForSale"
"Ballina","Site 39 491 River Street, Ballina","$150,000"," 1"," 2",486.133333333333,727.768,"ForSale"
"Glen Innes","95 Hunter, Glen Innes","$148,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Barraba","34 Rodney Street, Barraba","$135,000"," 1"," 2",345.666666666667,486.82,"ForSale"
"Leeton","8 Lachlan Street, Leeton","$175,000"," 2"," 3",355.416666666667,556.851,"ForSale"
"Young","23 Wombat Street, Young","$179,000"," 1"," 3",229.6,371.605,"ForSale"
"Muswellbrook","41 Market Street, Muswellbrook","$160,000 - $179,500"," 1"," 2",164.583333333333,237.029,"ForSale"
"Bourke","63 Mertin Street, Bourke","$165,000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Lower Acacia Creek","Lot 149 Church Road, Lower Acacia Creek","$160,000"," 1"," 3",536.05,738.531,"ForSale"
"Stuart Town","Address available on request, Stuart Town","$139,000"," 1"," 2",233.25,298.345,"ForSale"
"Collie","Lot 37 Wonbobbie Street, Collie","$170,000"," 2"," 3",334.166666666667,458.117,"ForSale"
"Leeton","7 Carabeen Avenue, Leeton","$169,000"," 1"," 3",355.416666666667,556.851,"ForSale"
"Leeton","15 Gossamer Street, Leeton","$158,000"," 1"," 4",355.416666666667,556.851,"ForSale"
"Coonabarabran","11 Gordon St, Coonabarabran","$155,000"," 1"," 2",327.233333333333,444.916,"ForSale"
"Narrandera","36 Grosvenor Street, Narrandera","$149,000"," 1"," 5",334.233333333333,527.307,"ForSale"
"Coonabarabran","13 Masman St, Coonabarabran","$149,500"," 1"," 3",327.233333333333,444.916,"ForSale"
"Finley","22 Walter Street, Finley","$169,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Bourke","14 Becker St, Bourke","Asking $160,000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Moree","10 Wattle Crescent, Moree","$159,000 ROI 10.7% - 11.4%"," 1"," 3",421.2,616.255,"ForSale"
"Sutton","92 Plover Circuit, Sutton","$145,000"," 1"," 3",160.366666666667,267.479,"ForSale"
"Berrigan","78 Barooga Street, Berrigan","$145,000"," 1"," 2",393.616666666667,635.493,"ForSale"
"Ardlethan","29 Bygoo Street, Ardlethan","$139,000"," 1"," 3",305.05,487.717,"ForSale"
"East Gresford","19 Durham Road, East Gresford","$125,000"," 1"," 2",146.233333333333,192.051,"ForSale"
"Deniliquin","90 DECIMUS STREET, Deniliquin","$109,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Tolland","2 Kenny Place, Tolland","$99,000"," 1"," 3",279.833333333333,459.669,"ForSale"
"Moree","323 Edward Street, Moree","$89,000"," 1"," 3",421.2,616.255,"ForSale"
"Moree","334 Auburn Street, Moree","$169,000"," 2"," 4",421.2,616.255,"ForSale"
"Broken Hill","11 Gypsum Street, Broken Hill","$119,000"," 1"," 4",747.5,1126.84,"ForSale"
"Kelso","14 Rivett Place, Kelso","Price Guide $169,000 - $185,000"," 1"," 2",147.9,180.4,"ForSale"
"Finley","263 Murray Street, Finley","$95,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Finley","13 Headford Street, Finley","$82,000"," 1"," 3",408.616666666667,657.711,"ForSale"
"Harden","150 Neill Street, Harden","$95,000"," 1"," 2",206.1,338.668,"ForSale"
"Glen Innes","153 Taylor Street, Glen Innes","$170,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Nambucca Heads","26 Swimming Creek Road, Nambucca Heads","$165,000"," 1"," 2",302.333333333333,475.423,"ForSale"
"Inverell","16 Chester Street, Inverell","$175,000"," 1"," 3",403.416666666667,561.941,"ForSale"
"Moree","378 Warialda Street, Moree","$159,000"," 1"," 4",421.2,616.255,"ForSale"
"Glen Innes","95 Hunter Street, Glen Innes","$148,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Manilla","48 CHURCH STREET, Manilla","$160,000"," 1"," 2",315.733333333333,442.39,"ForSale"
"Narrandera","45 Dalgetty Street, Narrandera","$159,000"," 2"," 3",334.233333333333,527.307,"ForSale"
"Deniliquin","303 Wood St, Deniliquin","Reduced NOW $135,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Muswellbrook","36 Hunter Terrace, Muswellbrook","FIRST NATIONAL $130,000"," 1"," 4",164.583333333333,237.029,"ForSale"
"Wellington","104 Maughan Street, Wellington","$124,500"," 1"," 3",258.633333333333,332.55,"ForSale"
"Wellington","68B Thornton Street, Wellington","$110,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Tocumwal","Lot 15 Murray Riverside Village, Quicks Rd, Tocumwal","$99,000"," 1"," 3",417.45,692.901,"ForSale"
"Balldale","13 Charles Street, Balldale","NEW PRICE: $185,000"," 1"," 3",354.483333333333,587.818,"ForSale"
"Peak Hill","106 Derribong Street, Peak Hill","$143,000"," 2"," 4",293.816666666667,389.081,"ForSale"
"Mandurama","56 Peach Street, Mandurama","$90,000"," 1"," 1",200,247.813,"ForSale"
"Griffith","401 Banna Avenue, Griffith","$50,000"," 1"," 1",361.2,571.451,"ForSale"
"Tolland","38 Bruce Street, Tolland","$169,000"," 1"," 3",279.833333333333,459.669,"ForSale"
"Coonabarabran","12 Clarke St, Coonabarabran","$145,000"," 1"," 3",327.233333333333,444.916,"ForSale"
"Batlow","54 Pioneer Street, Batlow","$115000"," 1"," 1",269.433333333333,436.264,"ForSale"
"Broken Hill","183 Newton Lane, Broken Hill","$75,000"," 1"," 3",747.5,1126.84,"ForSale"
"Baradine","5 Gardiner st, Baradine","$190,000"," 1"," 4",354.35,483.877,"ForSale"
"Bingara","14 Old Keera Road, Bingara","$175,000"," 1"," 1",384.083333333333,547.077,"ForSale"
"Harden","12 Derby Street, Harden","$175,000"," 1"," 3",206.1,338.668,"ForSale"
"Cowra","6 Nelson Street, Cowra","$185,000"," 1"," 3",231.566666666667,291.247,"ForSale"
"Tamworth","44 Tingira Street, Tamworth","$167,000"," 1"," 3",279.066666666667,395.245,"ForSale"
"Tamworth","40 Cossa Street, Tamworth","$165,000"," 1"," 3",279.066666666667,395.245,"ForSale"
"Jerilderie","110 Mahonga Street, Jerilderie","$150,000.00"," 1"," 2",382.816666666667,620.012,"ForSale"
"Daysdale","1933 Federation Way, Daysdale","$150000 ono"," 1"," 2",365.966666666667,599.322,"ForSale"
"Halekulani","Address available on request, Halekulani","$139,950"," 1"," 1",82.9166666666667,102.653,"ForSale"
"Wentworth","173 Adams Street, Wentworth","$135,000.00"," 1"," 2",637.466666666667,1035.275,"ForSale"
"West Kempsey","63 North Street, West Kempsey","$149,000 - NEW PRICE!"," 1"," 4",271.116666666667,413.87,"ForSale"
"Forbes","12 Bogan Street, Forbes","$130,000"," 1"," 1",275.683333333333,357.998,"ForSale"
"Mandurama","49 Cherry  Street, Mandurama","$165,000"," 1"," 2",200,247.813,"ForSale"
"Barraba","2 Weigall Street, Barraba","$100,000"," 1"," 2",345.666666666667,486.82,"ForSale"
"Delegate","27 Craigie Street, Delegate","$170,000"," 2"," 3",328.016666666667,518.137,"ForSale"
"Ardlethan","21 Cassiterite Crescent, Ardlethan","$135,000"," 1"," 3",305.05,487.717,"ForSale"
"South Kempsey","30 Albert Street, South Kempsey","$130,000"," 1"," 3",268.5,412.483,"ForSale"
"Cowra","20 Wellington Street, Cowra","$190,000"," 1"," 3",231.566666666667,291.247,"ForSale"
"Cassilis","8-10 Branksome Street, Cassilis","$172,000"," 1"," 3",233.116666666667,339.77,"ForSale"
"West Ballina","Site 40 Hibiscus Gar 491 River Street, West Ballina","$165,000"," 1"," 2",476.45,721.533,"ForSale"
"Urbenville","11 Beaury Street, Urbenville","$159,000"," 1"," 3",536.15,806.813,"ForSale"
"Wellington","Address available on request, Wellington","$135,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Werris Creek","1A Mayors Avenue, Werris Creek","$122,000"," 1"," 3",259.183333333333,360.294,"ForSale"
"Grenfell","17,19, 21 BRADLEY STREET, Grenfell","$38,000"," 1"," 1",265.45,344.956,"ForSale"
"Temora","72 Jellicoe Street, Temora","$165,000  Price Reduced"," 1"," 2",261.466666666667,420.465,"ForSale"
"Broken Hill","152 Gaffney Street, Broken Hill","$119,000"," 1"," 3",747.5,1126.84,"ForSale"
"Deniliquin","18 Ballantyne Crescent, Deniliquin","$100,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Nambucca Heads","67 Pelican Park, Nambucca Heads","$165,000"," 1"," 1",302.333333333333,475.423,"ForSale"
"Ungarie","13 Mackrell Street, Ungarie","ASKING PRICE $88,000"," 1"," 3",338.333333333333,531.138,"ForSale"
"Narrandera","14 Argyle Street, Narrandera","$165,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Holbrook","7 Murray Street, Holbrook","$125,000"," 1"," 2",288.816666666667,488.904,"ForSale"
"Grong Grong","49 Berrembed Street, Grong Grong","Reduced $75,000"," 1"," 3",321.933333333333,507.235,"ForSale"
"Moree","62 Dover Street, Moree","$170,000"," 2"," 3",421.2,616.255,"ForSale"
"Leeton","26 Bourke Road, Leeton","$165,000"," 1"," 3",355.416666666667,556.851,"ForSale"
"Barham","59 Punt Road, Barham","$160,000"," 1"," 2",496.75,793.729,"ForSale"
"Coonamble","10 Eurimie Street, Coonamble","$150,000"," 1"," 2",371.333333333333,517.207,"ForSale"
"Warren","Address available on request, Warren","$123,000"," 1"," 3",354.566666666667,482.306,"ForSale"
"Parkes","89 BOGAN STREET, Parkes","$175,000"," 1"," 2",262.666666666667,340.97,"ForSale"
"Nambucca Heads","45 Old Coast Road, Nambucca Heads","$172,500"," 1"," 2",302.333333333333,475.423,"ForSale"
"Deniliquin","74 Macauley, Deniliquin","For Sale $179,000"," 1"," 2",441.233333333333,708.832,"ForSale"
"Warialda","96 High Street, Warialda","$165,000"," 1"," 2",417.15,591.159,"ForSale"
"Cobar","3 Denman Street, Cobar","$155,000"," 1"," 4",461.4,669.21,"ForSale"
"Iluka","65 Charles St, Iluka","$160,000"," 1"," 1",434.816666666667,668.978,"ForSale"
"Coonabarabran","20 Ann St, Coonabarabran","$130,000"," 1"," 2",327.233333333333,444.916,"ForSale"
"Inverell","67 Warialda Road, Inverell","$165,000"," 1"," 2",403.416666666667,561.941,"ForSale"
"Barraba","32  FITZROY STREET, Barraba","$120,000"," 1"," 3",345.666666666667,486.82,"ForSale"
"Dunedoo","142 Whiteley Street, Dunedoo","$175,000"," 1"," 3",262.366666666667,340.399,"ForSale"
"Ganmain","69 Waterview Street, Ganmain","$169,950"," 1"," 4",304.733333333333,482.076,"ForSale"
"Tocumwal","R2 Murray Riverside Village, Quicks Rd, Tocumwal","$150,000"," 2"," 3",417.45,692.901,"ForSale"
"Moree","41 Drummond Street, Moree","$149,500"," 1"," 3",421.2,616.255,"ForSale"
"Kenebri","Lot 24 Gwabegar Road, Kenebri","$30,000"," 1"," 2",368,503.307,"ForSale"
"Wellington","5 Little Arthur Street, Wellington","$175,000"," 2"," 3",258.633333333333,332.55,"ForSale"
"Inverell","67 Warialda Road, Inverell","$169,000"," 1"," 2",403.416666666667,561.941,"ForSale"
"Moree","340 Boston Street, Moree","$152,000"," 1"," 3",421.2,616.255,"ForSale"
"Wakool","32 La Perouse Street, Wakool","$170,000"," 1"," 3",482.466666666667,772.03,"ForSale"
"Muswellbrook","79 Tobruk Avenue, Muswellbrook","$139,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Leeton","15 Blackwood Street, Leeton","$115,000"," 2"," 4",355.416666666667,556.851,"ForSale"
"Peak Hill","33 Caswell Street, Peak Hill","$98,000"," 1"," 3",293.816666666667,389.081,"ForSale"
"Inverell","7 Oxley Place, Inverell","$155,000"," 1"," 3",403.416666666667,561.941,"ForSale"
"Inverell","9 Oxley Place, Inverell","$150,000"," 1"," 3",403.416666666667,561.941,"ForSale"
"Wellington","4 Charles Street, Wellington","$149,000"," 1"," 3",258.633333333333,332.55,"ForSale"
"Willawarrin","47 Main Street, Willawarrin","$85,000"," 1"," 1",290.116666666667,439.375,"ForSale"
"Inverell","67 Warialda Road, Inverell","$169,000"," 1"," 2",403.416666666667,561.941,"ForSale"
"Khancoban","10 Chisholm St, Khancoban","$160,000"," 1"," 3",349.75,544.906,"ForSale"
"Bilambil","12A/382 Bilambil Road, Bilambil","$149,000"," 1"," 2",532.116666666667,808.921,"ForSale"
"Finley","123-125 Murray Street, Finley","$119,000 Plus GST"," 1"," 1",408.616666666667,657.711,"ForSale"
"Narromine","194 Cathundril Street, Narromine","$149,000 - $159,000"," 1"," 2",306.483333333333,413.407,"ForSale"
"Glen Innes","91 Church Street, Glen Innes","$168,000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Leeton","12 Gossamer Street, Leeton","$135,000"," 2"," 4",355.416666666667,556.851,"ForSale"
"Wellington","2 New Street, Wellington","$145,000"," 1"," 2",258.633333333333,332.55,"ForSale"
"Gunnedah","8 Little Hunter Street, Gunnedah","$139,000"," 1"," 1",295.566666666667,421.48,"ForSale"
"Tumbarumba","103 Winton Street, Tumbarumba","$155,000"," 1"," 3",293.666666666667,468.944,"ForSale"
"Barellan","31 MULGA STREET, Barellan","REDUCED AGAIN TO $65,000"," 1"," 3",323.55,518.697,"ForSale"
"Moree","20 BOUNDARY STREET, Moree","$169,000"," 1"," 2",421.2,616.255,"ForSale"
"Narrandera","62 Boundary Road, Narrandera","Reduced $149,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Cootamundra","5 Wall Avenue, Cootamundra","$159,000"," 1"," 3",231.2,377.99,"ForSale"
"Moree","99 Edward Street, Moree","$99,000"," 1"," 3",421.2,616.255,"ForSale"
"Moulamein","30 Sainsberry Street, Moulamein","$97,000"," 1"," 2",496.516666666667,799.673,"ForSale"
"Alstonville","Site 1 Alstonville Leisure Village Bruxner Highway, Alstonville","$89,000"," 1"," 2",478.916666666667,721.91,"ForSale"
"Gunnedah","2 Rosemary Street, Gunnedah","$170,000"," 1"," 3",295.566666666667,421.48,"ForSale"
"Moree","30 Alice Street, Moree","$169,000"," 2"," 2",421.2,616.255,"ForSale"
"Parkes","9 Gallop Avenue, Parkes","$165,000"," 1"," 3",262.666666666667,340.97,"ForSale"
"Bourke","19-21 Tudor Street, Bourke","$120,000"," 2"," 3",503.383333333333,741.707,"ForSale"
"Mendooran","7 Farnell Street, Mendooran","$110,000"," 1"," 3",277.933333333333,368.217,"ForSale"
"Wakool","45 Flinders Street, Wakool","$69,000"," 1"," 2",482.466666666667,772.03,"ForSale"
"Glen Innes","107 Church Street, Glen Innes","$175,000"," 1"," 2",401.983333333333,559.494,"ForSale"
"Cowra","115 TARAGALA STREET, Cowra","$170,000"," 2"," 3",231.566666666667,291.247,"ForSale"
"Ashford","13 Frazer Street, Ashford","$100,000"," 1"," 2",441.95,617.125,"ForSale"
"Barmedman","30 Robertson Street, Barmedman","$160,000"," 2"," 3",285.633333333333,456.329,"ForSale"
"Mumbil","Address available on request, Mumbil","$159,500"," 1"," 2",242.233333333333,308.776,"ForSale"
"Bar Point","98 Kalinda, Bar Point","$150,000"," 1"," 1",NA,NA,"ForSale"
"Warialda","29 Geddes Street, Warialda","$135,000"," 1"," 3",417.15,591.159,"ForSale"
"Garah","5 Midkin Street, Garah","Reduced by $10,000 to $120,000"," 1"," 3",457.9,668.29,"ForSale"
"Rand","26 Belah Street, Rand","$89,500"," 1"," 3",339.983333333333,562.252,"ForSale"
"Moree","381 Boston Street, Moree","$149,000"," 1"," 3",421.2,616.255,"ForSale"
"Narrandera","24 Frederica Street, Narrandera","$139,000"," 1"," 3",334.233333333333,527.307,"ForSale"
"Moulamein","58 Baratta Street, Moulamein","$127,000"," 1"," 3",496.516666666667,799.673,"ForSale"
"Tocumwal","63 Kelly St, Tocumwal","$174,000"," 1"," 3",417.45,692.901,"ForSale"
"Corowa","32 Isabel Street, Corowa","$125,000"," 1"," 3",359.533333333333,606.542,"ForSale"
"Oaklands","57 Milthorpe Street, Oaklands","$109,000"," 1"," 2",372.7,597.71,"ForSale"
"Jerilderie","55 Mahonga Street, Jerilderie","$159000.00"," 1"," 3",382.816666666667,620.012,"ForSale"
"Bourke","6 Warraweena St, Bourke","$120,000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Dunedoo","35 Bullinda Street, Dunedoo","$115,000"," 1"," 2",262.366666666667,340.399,"ForSale"
"Glen Innes","160 Macquarie St, Glen Innes","$110,000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Ashmont","13 Poulton Street, Ashmont","$160,000"," 1"," 3",282.116666666667,459.492,"ForSale"
"Hay","385 CADELL STREET, Hay","$145,000"," 1"," 3",442.85,722.973,"ForSale"
"Gilgandra","5 Station Street, Gilgandra","$140,000"," 1"," 4",311.166666666667,422.231,"ForSale"
"Boggabri","59 Wee Waa Street, Boggabri","$140,000"," 1"," 1",321.15,459.858,"ForSale"
"Broken Hill","239 Cummins Lane, Broken Hill","$115,000"," 1"," 2",747.5,1126.84,"ForSale"
"Cootamundra","10 Lawrence Street, Cootamundra","$138,000"," 1"," 2",231.2,377.99,"ForSale"
"Broken Hill","217 Patton Street, Broken Hill","$126,000"," 1"," 2",747.5,1126.84,"ForSale"
"Ballina","36 586 River Street, Ballina","$115,000"," 1"," 1",486.133333333333,727.768,"ForSale"
"Henty","47 Ivor Street, Henty","$125,000"," 1"," 3",311.45,523.978,"ForSale"
"Barraba","15 Savoy Street, Barraba","$145,000"," 2"," 4",345.666666666667,486.82,"ForSale"
"Lakewood","Site 40 Laurieton Lakefront Caravan Park, Lakewood","$99,950"," 1"," 2",227.316666666667,346.487,"ForSale"
"Glen Innes","21 Short Street, Glen Innes","$97 000"," 2"," 4",401.983333333333,559.494,"ForSale"
"Glen Innes","144 Ferguson Street, Glen Innes","$170 000"," 1"," 3",401.983333333333,559.494,"ForSale"
"Boree Creek","6-8 Namoi Street, Boree Creek","$169,000"," 1"," 3",327.3,533.536,"ForSale"
"Quirindi","52 William Street, Quirindi","$165,000"," 1"," 3",242.033333333333,339.247,"ForSale"
"Narrandera","35 Arthur Street, Narrandera","Reduced $155,000"," 1"," 4",334.233333333333,527.307,"ForSale"
"Ganmain","37-39 Hill Street, Ganmain","$135,000"," 1"," 1",304.733333333333,482.076,"ForSale"
"Narrabri","41 Baranbar Street, Narrabri","$179,000"," 1"," 3",355.616666666667,515.023,"ForSale"
"Tingha","15 Agate Street, Tingha","$99,000"," 1"," 2",398.183333333333,553.527,"ForSale"
"Pallamallawa","79 WARIALDA STREET, Pallamallawa","$80,000"," 1"," 2",434.633333333333,620.247,"ForSale"
"Cootamundra","104 Thompson Street, Cootamundra","$149,000"," 1"," 3",231.2,377.99,"ForSale"
"Warialda","153 Long Street, Warialda","$115,000"," 1"," 1",417.15,591.159,"ForSale"
"Bourke","129 Anson Street, Bourke","$78,000"," 1"," 4",503.383333333333,741.707,"ForSale"
"Culcairn","8 Elizabeth Street, Culcairn","$120,000"," 1"," 3",309.683333333333,516.479,"ForSale"
"Coonamble","28 Wilga Street, Coonamble","$80,000 ONO"," 1"," 2",371.333333333333,517.207,"ForSale"
"Jerilderie","30 Southey Street, Jerilderie","$120,000"," 1"," 3",382.816666666667,620.012,"ForSale"
"Moree","69 Anne Street, Moree","$65,000"," 1"," 3",421.2,616.255,"ForSale"
"Broken Hill","6 Beryl Lane, Broken Hill","$129,000"," 1"," 2",747.5,1126.84,"ForSale"
"Woodstock","74-76 Carrington Street, Woodstock","$149,000"," 1"," 2",224.316666666667,273.085,"ForSale"
"Moree","62 Adelaide Street, Moree","$79,000"," 1"," 3",421.2,616.255,"ForSale"
"Wellington","21 Jean Street, Wellington","$169,000"," 1"," 2",258.633333333333,332.55,"ForSale"
"Broken Hill","527 Lane Lane, Broken Hill","$89,000"," 1"," 3",747.5,1126.84,"ForSale"
"Bundarra","11 Court Street, Bundarra","$119,000"," 1"," 2",396.783333333333,543.02,"ForSale"
"Barmedman","10-12 DE BOOS STREET, Barmedman","$170,000"," 1"," 4",285.633333333333,456.329,"ForSale"
"Cooma","6 Nuralda Place, Cooma","$159,000"," 1"," 2",244.033333333333,395.036,"ForSale"
"Deniliquin","19 ROBERTSON CRESCENT, Deniliquin","$120,000"," 1"," 3",441.233333333333,708.832,"ForSale"
"Warialda","71 Hope Street, Warialda","$90,000"," 1"," 2",417.15,591.159,"ForSale"
"Warialda","71B Hope Street, Warialda","$70,000"," 1"," 3",417.15,591.159,"ForSale"
"Moree","11 Adelaide Street, Moree","$130,000"," 1"," 4",421.2,616.255,"ForSale"
"Ungarie","8 Mackrell Street, Ungarie","REDUCED $100,000 GST INCLUSIVE"," 1"," 1",338.333333333333,531.138,"ForSale"
"Broken Hill","263 Patton Street, Broken Hill","$89,000"," 1"," 3",747.5,1126.84,"ForSale"
"Tallimba","56 Tallimba Street, Tallimba","REDUCED $85,000 GST INC."," 1"," 1",331.75,523.174,"ForSale"
"Werris Creek","126 Dewhurst Street, Werris Creek","$149,000"," 1"," 4",259.183333333333,360.294,"ForSale"
"Moree","38 Oak Street, Moree","$120,000"," 1"," 3",421.2,616.255,"ForSale"
"Muswellbrook","39 Anzac Parade, Muswellbrook","$175,000"," 1"," 3",164.583333333333,237.029,"ForSale"
"Boggabri","127 Oakham Street, Boggabri","$155,000"," 1"," 4",321.15,459.858,"ForSale"
"Yeoval","6 Myrangle Street, Yeoval","$149,000"," 1"," 4",251.866666666667,321.386,"ForSale"
"Leeton","39 Railway Avenue, Leeton","$105,000"," 1"," 2",355.416666666667,556.851,"ForSale"
"Tumut","2 Tumut Plains Road, Tumut","$135,000"," 1"," 2",253.45,409.311,"ForSale"
"Broken Hill","83 Hill Street, Broken Hill","$95,000"," 1"," 3",747.5,1126.84,"ForSale"
"Culcairn","92 Balfour Street, Culcairn","$145,000"," 1"," 3",309.683333333333,516.479,"ForSale"
"Moree","97 Boston Street, Moree","$95,000"," 1"," 2",421.2,616.255,"ForSale"
"Bourke","12 Glen St, Bourke","120000"," 1"," 3",503.383333333333,741.707,"ForSale"
"Moree","97 BOSTON STREET, Moree","$95,000"," 1"," 2",421.2,616.255,"ForSale"
"Gundagai","154 Punch Street, Gundagai","$399,000"," 1"," 3",222.6,372.914,"ForSale"
