"X","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status","Date"
846,"Broken Hill","42 Urben Street, Urbenville","$145,000",1,1,747.5,1126.84,"ForSale",NA
847,"Coonamble","40 Enmore St, Trangie","$135,000",1,2,371.333333333333,517.207,"ForSale",NA
848,"Broken Hill","12 Bogan Street, Forbes","$130,000",1,2,747.5,1126.84,"ForSale",NA
850,"Turramurra","25 Alice Street, Barraba","$155,000",1,3,28.3,23.022,"ForSale",NA
851,"Broken Hill","46 Alexander Street, Stuart Town","$125,000",1,2,747.5,1126.84,"ForSale",NA
852,"Coonamble","2/66 Bloomfield Street, South Kempsey","$160,000 - NEW PRICE!",1,2,371.333333333333,517.207,"ForSale",NA
853,"Broken Hill","18 Limerick Street, Coonamble","$65,000",1,3,747.5,1126.84,"ForSale",NA
854,"Scone","19 Warren Road, Gilgandra","$169,000",1,3,191.116666666667,265.882,"ForSale",NA
855,"Kooringal","7 Coronation Avenue, Werris Creek","$125,000",1,3,275,455.478,"ForSale",NA
856,"Broken Hill","105 Dewhurst Street, Werris Creek","$100,000",1,3,747.5,1126.84,"ForSale",NA
857,"Port Macquarie","177 Tree Tops Blvd, MVRV, Murwillumbah","$125,000",1,2,245.05,374.344,"ForSale",NA
858,"South Grafton","26 Evans Drive, Wellington","$150,000",1,3,380.516666666667,597.104,"ForSale",NA
859,"Winston Hills","48-50 Binnia Street, Coolah","$140,000",1,2,11.8333333333333,8.122,"ForSale",NA
860,"Broken Hill","26 Prince Street, Old Bonalbo","$129,000",2,3,747.5,1126.84,"ForSale",NA
861,"Kelso","19 Quicks Road, Tocumwal","$30,000",1,1,147.9,180.4,"ForSale",NA
862,"Springfield","10 Gloucester Street, Junee","$169,000",1,3,66.4333333333333,70.3,"ForSale",NA
863,"Cumnock","121 Chanter St, Berrigan","$149,000",1,3,234.65,297.163,"ForSale",NA
864,"Oberon","2 Andy Poole Drive, Tathra","$149,000",1,2,152.283333333333,172.362,"ForSale",NA
865,"Broken Hill","94 Market Street, Warialda","$160,000",1,3,747.5,1126.84,"ForSale",NA
866,"Broken Hill","2 Coonamble Terrace, Coonamble","$149,000",1,2,747.5,1126.84,"ForSale",NA
867,"Broken Hill","55 Alexander Street, Stuart Town","$135,000",1,2,747.5,1126.84,"ForSale",NA
868,"Aberdeen","24 Bimble Street, Coonamble","$149,000",1,2,178.466666666667,251.816,"ForSale",NA
869,"Lockhart","50 Hinds Street, Narrabri","$130,000",1,3,319.516666666667,519.498,"ForSale",NA
870,"Pooncarie","73  Maughan Street, Wellington","$158,000",1,3,703,1137.758,"ForSale",NA
871,"Broken Hill","329 Auburn Street, Moree","$95,000",1,3,747.5,1126.84,"ForSale",NA
872,"Coonamble","30 Eugene Street, Inverell","$149,000",1,3,371.333333333333,517.207,"ForSale",NA
873,"Broken Hill","109 Jamieson Street, Broken Hill","$125,000",1,2,747.5,1126.84,"ForSale",NA
874,"South Grafton","323 Edward Street, Moree","$89,000 NEG",1,3,380.516666666667,597.104,"ForSale",NA
875,"Turramurra","1 Hay Street, Condobolin","$45,000",1,1,28.3,23.022,"ForSale",NA
876,"Broken Hill","170/145 Kennedy Drive, Tweed Heads","$119,000",1,2,747.5,1126.84,"ForSale",NA
877,"Coonamble","80 ST GEORGE STREET, Mungindi","$69,000",1,3,371.333333333333,517.207,"ForSale",NA
878,"Broken Hill","13 Buna Street, Ashmont","$130,000",1,3,747.5,1126.84,"ForSale",NA
879,"Scone","221 William Street, Hay","$110,000",1,3,191.116666666667,265.882,"ForSale",NA
880,"Kooringal","31 Wee Waa Street, Boggabri","$149,500",1,3,275,455.478,"ForSale",NA
881,"Broken Hill","9 Bonada Avenue Mumbil via, Wellington","$49,900",1,2,747.5,1126.84,"ForSale",NA
882,"Port Macquarie","56 Boori Street, Peak Hill","$92,000",1,3,245.05,374.344,"ForSale",NA
